"tf","gene","Gain","Cover","Frequency","Cor"
"THAP11","CLOCK",0.236020524414167,0.132,0.132,0.187122508403574
"THAP11","FOXK2",0.120011240012913,0.09,0.09,0.131558825106419
"THAP11","HOXA5",0.0923426494100323,0.115254058378426,0.115254058378426,0.0673799671164693
"THAP11","MGA",0.069936900070506,0.084,0.084,0.165731223156566
"THAP11","CREB1",0.0547467472822553,0.068,0.068,0.182185537448426
"THAP11","HFE",0.0497205293244843,0.0483838383838384,0.0483838383838384,0.0740367067166235
"THAP11","ZBED1",0.0496341615761436,0.074,0.074,0.235908616706215
"THAP11","LPXN",0.041968923898954,0.05,0.05,0.357168764369962
"THAP11","ZBTB26",0.0402218921795277,0.04,0.04,0.119510851359604
"THAP11","MGST3",0.0399456254075517,0.03,0.03,0.259895231450462
"THAP11","TBR1",0.0396314618578932,0.127179487179487,0.127179487179487,0.067500095129871
"THAP11","TCF12",0.0384830610767516,0.026,0.026,0.227226016644141
"THAP11","MAX",0.0375189303914995,0.062,0.062,0.278579846919122
"THAP11","PLEKHA1",0.0327679615028656,0.076,0.076,0.0461273680995226
"THAP11","HOXB4",0.0325567550468996,0.042,0.042,0.054457649119802
"THAP11","ZNF740",0.030394449924483,0.038,0.038,0.133304351302226
"THAP11","ZNF148",0.030137524839811,0.068,0.068,0.115551054637628
"THAP11","ZNF684",0.0284641966724188,0.038,0.038,0.112931897330128
"THAP11","PPP1R14B",0.0239356716336842,0.034,0.034,0.353281969859626
"THAP11","SET",0.0236098429513526,0.044,0.044,0.420244248893086
"THAP11","TEAD3",0.0229330011744152,0.0122461863533292,0.0122461863533292,0.0635624470430953
"THAP11","RAN",0.0228274764287001,0.05,0.05,0.385804200372904
"THAP11","SORL1",0.0219218960429526,0.054,0.054,0.0778177435543864
"THAP11","DNAJA1",0.0200253292644976,0.02,0.02,0.391993641847549
"THAP11","NFATC3",0.01988177851941,0.048,0.048,0.211952546578467
