"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.07134784233977e-127,1.25216880983257,0.151,0.014,2.46549278957652e-123,"CTA-384D8.36","0"
2.14160953535573e-126,0.744474151088582,0.178,0.025,4.92848602371414e-122,"RP11-160O5.1","0"
3.92404402084037e-120,3.07389570754499,0.112,0.004,9.03040250515995e-116,"CTC-524C5.2","0"
6.61182691682704e-120,0.534863407540136,0.168,0.023,1.52157972836941e-115,"LINC00094","0"
4.56399772329733e-119,0.994018490341518,0.138,0.012,1.05031279606241e-114,"BZRAP1-AS1","0"
2.19169192578831e-116,4.30964500724647,0.114,0.005,5.04374062881663e-112,"BCYRN1","0"
9.75417310783314e-116,1.15507405418809,0.162,0.022,2.24472785730564e-111,"RP11-22P6.3","0"
3.72144948273223e-115,2.15257828864407,0.112,0.005,8.56417169461168e-111,"PRKAG2-AS1","0"
3.38258795188189e-113,1.07085449866542,0.135,0.013,7.78434965366579e-109,"FLVCR1-AS1","0"
2.2292829678774e-112,2.72113876404389,0.107,0.004,5.13024889397625e-108,"RP11-22N19.2","0"
4.22652087775877e-112,0.47061672191904,0.161,0.023,9.72649249598625e-108,"RSBN1L-AS1","0"
5.63385843771724e-111,1.07692392722144,0.156,0.021,1.29651984227187e-106,"RP5-1024G6.8","0"
2.94723582709157e-109,0.718079572926278,0.15,0.02,6.78247380888583e-105,"CD27-AS1","0"
3.16816514072574e-107,0.565579823168809,0.142,0.017,7.29089843835214e-103,"RP11-111M22.3","0"
1.83645814320439e-104,2.53457195527772,0.104,0.005,4.22624112495626e-100,"RP5-1028K7.2","0"
2.62562992999721e-103,0.682074443666982,0.126,0.013,6.04236215790258e-99,"AC093323.3","0"
4.67974434671164e-103,0.491277994168936,0.147,0.021,1.07694956650875e-98,"PTCHD3P1","0"
4.86346074116492e-102,1.01268029600782,0.131,0.015,1.11922822036428e-97,"CTC-425F1.4","0"
3.3230018691211e-96,0.354893805596584,0.15,0.024,7.64722420140839e-92,"RP11-31F15.1","0"
3.92814454501308e-94,0.320054478561179,0.145,0.023,9.03983904143861e-90,"SNHG10","0"
3.69502261018739e-91,1.00553537887796,0.124,0.016,8.50335553282425e-87,"CRNDE","0"
1.3388314509604e-89,1.77216884634848,0.1,0.008,3.08105281809516e-85,"RP11-498C9.15","0"
1.12924422789801e-85,0.362275628830326,0.123,0.017,2.5987297416617e-81,"RP11-1094M14.11","0"
1.54983230024195e-85,0.326021933155296,0.138,0.023,3.56662907254679e-81,"RP11-85F14.5","0"
1.5083539353603e-84,0.296100862154118,0.131,0.021,3.47117491144467e-80,"RN7SL1","0"
2.09479047974257e-84,0.878709361709605,0.109,0.013,4.82074133103157e-80,"VPS9D1-AS1","0"
3.60725579244371e-82,0.836597373062607,0.138,0.025,8.3013777551507e-78,"RMRP","0"
1.11165339263023e-79,0.488675351976473,0.109,0.014,2.55824795245996e-75,"LINC00984","0"
2.77837198984611e-79,0.404371180642884,0.114,0.016,6.39386746023286e-75,"CTD-3195I5.1","0"
4.74483592041058e-74,0.399393438462162,0.108,0.016,1.09192909036409e-69,"RP11-792A8.4","0"
1.62038519744918e-71,0.391214082745794,0.108,0.016,3.7289924548898e-67,"AC018737.1","0"
3.67213115591476e-70,0.516835621911778,0.109,0.018,8.45067542910663e-66,"CTD-2306M10.1","0"
1.1978291909385e-92,1.61289476896672,0.835,0.76,2.75656431710676e-88,"SNORD3A","1"
2.7697779081433e-70,1.10169641743689,0.734,0.645,6.37408990001018e-66,"NEAT1","1"
6.04014597200058e-62,0.416895007646588,0.984,0.987,1.39001879253649e-57,"MALAT1","1"
1.3294862073555e-56,1.37622912118886,0.442,0.296,3.0595466089872e-52,"AL928768.3","1"
9.34003904608021e-49,0.678274501186145,0.41,0.255,2.14942318567444e-44,"RP11-16E12.2","1"
5.96073011905692e-46,0.824703168038339,0.204,0.087,1.37174282229857e-41,"RP11-290F5.1","1"
3.67745555829553e-43,1.50552806950469,0.145,0.053,8.46292847630549e-39,"RP11-81H14.2","1"
6.31636559067341e-41,1.23568318560909,0.219,0.11,1.45358521338167e-36,"AC159540.1","1"
