"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage"
3.53094903777154e-19,0.529396632161081,0.042,0.15,8.12577302062365e-15,"NUTM2A-AS1","MBC"
2.11735801380751e-18,-0.320308549711574,0.05,0.157,4.87267599717523e-14,"AC074289.1","MBC"
2.56576824573716e-18,0.339205980314947,0.047,0.154,5.90460246391493e-14,"ILF3-AS1","MBC"
6.15193336071796e-17,0.327979957444714,0.038,0.134,1.41574442430202e-12,"THAP9-AS1","MBC"
3.9531418870019e-16,1.34443313987606,0.058,0.163,9.09736542455747e-12,"CASC7","MBC"
4.49118649571313e-16,1.19290429000972,0.055,0.157,1.03355674825846e-11,"MIR155HG","MBC"
6.68280831031452e-16,1.32281033164324,0.097,0.226,1.53791467645268e-11,"NCBP2-AS2","MBC"
1.9533116917336e-14,0.890422712413764,0.095,0.213,4.49515619618653e-10,"MIR142","MBC"
3.39436438306508e-13,1.09909091468991,0.215,0.406,7.81145075474768e-09,"RP11-220I1.1","MBC"
1.77306884768562e-12,0.440308058729077,0.033,0.104,4.08036333917891e-08,"LINC00936","MBC"
9.01467660877473e-12,0.984011201933764,0.037,0.108,2.07454752797733e-07,"RP11-215G15.5","MBC"
9.68345762341606e-11,1.11929480915979,0.121,0.234,2.22845410287674e-06,"SNHG9","MBC"
1.78015613456764e-09,2.5664567666122,0.186,0.136,4.09667331248051e-05,"LINC00926","MBC"
5.95361141904466e-08,1.17723029572676,0.124,0.219,0.00137010459586475,"RP11-349A22.5","MBC"
1.01250859990429e-05,1.23741933523574,0.054,0.101,0.233008604095975,"MKLN1-AS1","MBC"
0.0134902917863091,2.52567822885096,0.18,0.176,1,"EPB41L4A-AS1","MBC"
0.0488541437674333,1.61202447311566,0.269,0.382,1,"SCARNA9","MBC"
0.289444999557541,2.23671993698776,0.097,0.119,1,"TTTY15","MBC"
0.42495770735062,2.32695564002721,0.088,0.104,1,"TRIM52-AS1","MBC"
0.902300744303736,1.55754579993379,0.347,0.476,1,"SNHG8","MBC"
1.1510588351837e-155,-2.08867048880451,0.303,0.595,2.64893169740825e-151,"ZFAS1","PB"
2.27728471819831e-116,1.75360299027801,0.856,0.757,5.24071532198977e-112,"SNORD3A","PB"
7.56730555390787e-89,1.26031020879185,0.758,0.642,1.74146402712082e-84,"NEAT1","PB"
6.92137771049778e-87,-1.30062941080916,0.257,0.526,1.59281665251685e-82,"SNHG8","PB"
1.48533694998593e-83,0.520434761998152,0.992,0.984,3.41820592300262e-79,"MALAT1","PB"
