"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.80024653530431e-10,0.374985508641267,0.918,0.881,4.1429073516958e-06,"XAF1"
3.65923490978637e-10,-0.573329162605939,0.292,0.437,8.42099729789136e-06,"MIAT"
9.54930808515075e-10,-0.350243803968361,0.723,0.838,2.19758226963574e-05,"PDIA4"
1.01122092281244e-09,0.36351575186429,0.946,0.937,2.32712270966826e-05,"RPS27A"
1.26755244704276e-09,-0.686899555278778,0.2,0.321,2.9170184463795e-05,"ITGA4"
1.45418221694294e-09,-0.541474565811372,0.201,0.33,3.34650953585078e-05,"CHST12"
2.79312780028634e-09,-0.592711558672018,0.175,0.29,6.42782500679894e-05,"KDM5D"
3.19602099550869e-09,0.671708338585008,0.58,0.485,7.35500311696414e-05,"CD38"
3.26655701237247e-09,0.398038249647368,0.915,0.897,7.51732765257277e-05,"MX1"
3.66365320208377e-09,-0.507283141499557,0.399,0.533,8.43116511395539e-05,"PABPC4"
5.79914738860824e-09,-0.601029519959503,0.156,0.269,0.000133455778854041,"PPP1R2"
6.58751309177804e-09,-0.450458788890144,0.233,0.36,0.000151598438781088,"TMCO1"
6.87401989866724e-09,-0.817754830184979,0.186,0.301,0.000158191819928029,"WARS"
7.22492229440862e-09,-0.35196951703114,0.738,0.813,0.000166267136761226,"TRAM1"
8.44995478512296e-09,-0.382200392070053,0.539,0.671,0.000194458809470035,"MANF"
1.39387847011245e-08,-0.856883142805357,0.159,0.265,0.000320773252326977,"CD52"
2.00699399330279e-08,-0.600814103958315,0.175,0.287,0.000461869527678771,"COMMD3"
2.24434685791745e-08,0.881261402665364,0.303,0.194,0.000516491542412543,"CXCR4"
2.92547768677202e-08,-0.290024576729098,0.444,0.586,0.000673240180056845,"PPAPDC1B"
5.19975854708595e-08,0.672290439401719,0.578,0.494,0.00119662043444089,"APOBEC3C"
6.45353372650216e-08,-0.263738547810433,0.645,0.771,0.00148515171647994,"SLAMF7"
1.0342150082264e-07,-0.408032839720328,0.258,0.381,0.0023800389984314,"HLA-J"
1.11077239647396e-07,-0.414971038103926,0.308,0.437,0.00255622051600552,"HYOU1"
